College Name,Tier
IIT Bombay,1
IIT Delhi,1
IIT Kharagpur,1
IIT Madras,1
IIT Kanpur,1
IIT Roorkee,1
IIT Guwahati,1
IIIT Hyderabad,1
BITS Pilani,1
IIT Indore,1
IIT Ropar,1
IIT BHU (Varanasi),1
IIT ISM Dhanbad,1
DTU,1
NSUT Delhi (NSIT),1
NIT Tiruchipally (Trichy),1
NIT Warangal,1
NIT Surathkal (Karnataka),1
Jadavpur University,1
IIT,1
Jadavpur University,1
BITS Pilani (Hyderabad Campus),1
BITS Pilani (Goa Campus),1
IIIT Allahabad,1
IIIT Bangalore,2
IIIT Delhi,2
IGDTUW,2
NIT Calicut,2
IIITM Gwalior,2
IIIT Lucknow,2
MNNIT Allahabad,2
Punjab Engineering College,2
DAIICT,2
MNIT Jaipur,2
NIT Durgapur,2
VNIT Nagpur,2
LNMIIT,2
BIT Mesra,2
SVNIT Surat,2
NIT Jalandhar,2
NIT Jamshedpur,2
NIT Kurukshetra,2
NIT Patna,2
NIT Raipur,2
NIT Bhopal,2
NIT Rourkela,2
NIT Silchar,2
NIT Sikkim ,2
IIIT Jabalpur,2
 Jalpaiguri Government Engineering College,2
 IIEST/BESU Shibpur,2
R.V. College of Engineering,2
"BMS College, Bangalore",3
"PES University, Bangalore",3
"USIT, Delhi",3
"MAIT, Delhi
",3
"MSIT, Delhi
",3
"Dayanand College of Engineering, Bangalore
",3
"Heritage Institute of Technology, Kolkata
",3
"IEM, Kolkata
",3
"Techno India, Kolkata
",3
"Jaypee, Noida",3
" Amrita University, Coimbatore ",3
"Cummins College of Engineering for Women, Pune",3
"Ramaiah Institute of Technology, Bengaluru",3
TIET/Thapar University,3
Manipal Main Campus,3
VIT Vellore,3
SRM Main Campus,3
"KIIT, Bhubaneswar",3
Amity University,3